iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Get all Companies","GET","https://api.sendinblue.com/v3/companies","Unauthorized","401","229","50",,,,"0","0","0","0"
"1","Sendinblue","Create a company","POST","https://api.sendinblue.com/v3/companies","Unauthorized","401","82","50",,"Status code is 400, Validation error message is returned",,"2","0","2","0"
"1","Sendinblue","Get company attributes","GET","https://api.sendinblue.com/v3/companies/attributes","Unauthorized","401","78","50","Response time is below 2000ms, Response is JSON, Response contains company attributes, Attributes response is not empty",,,"4","4","0","0"
"1","Sendinblue","Link and Unlink company with contact and deal","PATCH","https://api.sendinblue.com/v3/companies/link-unlink/61a5ce58c5d4795761045994","Unauthorized","401","79","50","Response time is below 2000ms","Response status is 400 Bad Request, Response contains error message for invalid data",,"3","1","2","0"
"1","Sendinblue","Get a company","GET","https://api.sendinblue.com/v3/companies/","Unauthorized","401","75","50","Response is JSON","Company has an ID, Returned company ID matches requested company ID, Company contains attributes",,"4","1","3","0"
"1","Sendinblue","Delete a company","DELETE","https://api.sendinblue.com/v3/companies/","Unauthorized","401","79","50","Response time is below 2000ms, Server returned no error",,,"2","2","0","0"
"1","Sendinblue","Update a company","PATCH","https://api.sendinblue.com/v3/companies/6a90c3dd3ad1807ebb311cd9","Unauthorized","401","75","50",,,,"0","0","0","0"
"1","Sendinblue","Get pipeline stages","GET","https://api.sendinblue.com/v3/crm/pipeline/details","Unauthorized","401","84","50","Response time is below 2000ms, Response is JSON, Pipeline stages are returned, Response is not empty",,,"4","4","0","0"
"1","Sendinblue","Get all Companies","GET","https://api.sendinblue.com/v3/companies?filters=veniam elit in&linkedContactsIds=13396752&linkedDealsIds=veniam elit in&page=13396752&limit=13396752&sort=desc&sortBy=veniam elit in","Unauthorized","401","82","50",,,,"0","0","0","0"
"1","Sendinblue","Get all deals","GET","https://api.sendinblue.com/v3/crm/deals","Unauthorized","401","80","50","Response time is below 2000ms, Response is JSON","Response contains deals, Deals is an array, Each deal has an ID",,"5","2","3","0"
"1","Sendinblue","Create a deal","POST","https://api.sendinblue.com/v3/crm/deals","Unauthorized","401","79","50","Response is JSON, Response time is below 2000ms","Response contains deal ID, Deal ID is not empty",,"4","2","2","0"
